,precision,recall,f1-score,support
0,0.9333333333333333,0.7,0.8,20.0
1,0.26666666666666666,0.4,0.32,20.0
2,0.6666666666666666,0.9,0.7659574468085106,20.0
3,0.5,0.2,0.2857142857142857,20.0
accuracy,0.55,0.55,0.55,0.55
macro avg,0.5916666666666667,0.55,0.5429179331306991,80.0
weighted avg,0.5916666666666666,0.55,0.5429179331306991,80.0
