accuracy,loss,val_accuracy,val_loss,learning_rate
0.328125,1.4285005331039429,0.2874999940395355,1.4991134405136108,9.999999747378752e-06
0.543749988079071,1.1327338218688965,0.2874999940395355,1.4787009954452515,9.999999747378752e-06
0.625,1.0244262218475342,0.2874999940395355,1.4643690586090088,9.999999747378752e-06
0.609375,0.9608114957809448,0.2874999940395355,1.4474502801895142,9.999999747378752e-06
0.621874988079071,0.9418096542358398,0.2874999940395355,1.4377844333648682,9.999999747378752e-06
0.659375011920929,0.8838856816291809,0.2874999940395355,1.4188687801361084,9.999999747378752e-06
0.7406250238418579,0.8180125951766968,0.3499999940395355,1.4043866395950317,9.999999747378752e-06
0.703125,0.7900425791740417,0.42500001192092896,1.3865751028060913,9.999999747378752e-06
0.715624988079071,0.7809204459190369,0.4124999940395355,1.3548189401626587,9.999999747378752e-06
0.6937500238418579,0.7523291707038879,0.44999998807907104,1.3431510925292969,9.999999747378752e-06
0.715624988079071,0.7525247931480408,0.32499998807907104,1.3141640424728394,9.999999747378752e-06
0.731249988079071,0.7040712237358093,0.3125,1.3066694736480713,9.999999747378752e-06
0.7437499761581421,0.7171808481216431,0.26249998807907104,1.287893533706665,9.999999747378752e-06
0.765625,0.6791534423828125,0.3125,1.253732681274414,9.999999747378752e-06
0.7562500238418579,0.665981650352478,0.3499999940395355,1.2053828239440918,9.999999747378752e-06
0.746874988079071,0.6934386491775513,0.32499998807907104,1.1879117488861084,9.999999747378752e-06
0.768750011920929,0.6592612862586975,0.2874999940395355,1.2116671800613403,9.999999747378752e-06
0.762499988079071,0.6361157894134521,0.4124999940395355,1.1120041608810425,9.999999747378752e-06
0.793749988079071,0.6434348225593567,0.5625,1.0459061861038208,9.999999747378752e-06
0.7718750238418579,0.6296886205673218,0.5249999761581421,1.0218006372451782,9.999999747378752e-06
0.8125,0.5892802476882935,0.6875,0.9542528390884399,9.999999747378752e-06
0.8062499761581421,0.6170450448989868,0.675000011920929,0.9656533002853394,9.999999747378752e-06
0.800000011920929,0.5531423687934875,0.7875000238418579,0.8278073072433472,9.999999747378752e-06
0.7906249761581421,0.5989331007003784,0.7875000238418579,0.8382238149642944,9.999999747378752e-06
0.8218749761581421,0.5459134578704834,0.7875000238418579,0.8033092617988586,9.999999747378752e-06
0.8031250238418579,0.5608190894126892,0.800000011920929,0.7293733358383179,9.999999747378752e-06
0.8374999761581421,0.5200415849685669,0.7875000238418579,0.7096141576766968,9.999999747378752e-06
0.824999988079071,0.5395984053611755,0.800000011920929,0.6611567139625549,9.999999747378752e-06
0.7875000238418579,0.5785189867019653,0.7875000238418579,0.6432203650474548,9.999999747378752e-06
0.815625011920929,0.5369642376899719,0.8500000238418579,0.5746585726737976,9.999999747378752e-06
0.824999988079071,0.5123013854026794,0.800000011920929,0.5910217761993408,9.999999747378752e-06
0.8125,0.4803507328033447,0.8374999761581421,0.5589315891265869,9.999999747378752e-06
0.846875011920929,0.4865843653678894,0.824999988079071,0.5466871857643127,9.999999747378752e-06
0.8062499761581421,0.5220263004302979,0.8374999761581421,0.5500016212463379,9.999999747378752e-06
0.8531249761581421,0.47223106026649475,0.824999988079071,0.519743025302887,9.999999747378752e-06
0.840624988079071,0.49615463614463806,0.824999988079071,0.48725929856300354,9.999999747378752e-06
0.862500011920929,0.47265195846557617,0.7875000238418579,0.5351082682609558,9.999999747378752e-06
0.84375,0.47224751114845276,0.8374999761581421,0.5409380197525024,9.999999747378752e-06
0.875,0.4263186454772949,0.8125,0.565990149974823,9.999999747378752e-06
0.846875011920929,0.4632396697998047,0.8374999761581421,0.4816560745239258,4.999999873689376e-06
0.859375,0.41745686531066895,0.824999988079071,0.5110882520675659,4.999999873689376e-06
0.8500000238418579,0.4182704985141754,0.800000011920929,0.5181589722633362,4.999999873689376e-06
0.893750011920929,0.3996679186820984,0.8374999761581421,0.5055078268051147,4.999999873689376e-06
0.856249988079071,0.4279462397098541,0.8374999761581421,0.5050565004348755,2.499999936844688e-06
0.8968750238418579,0.39766696095466614,0.824999988079071,0.5192574262619019,2.499999936844688e-06
0.875,0.4038587510585785,0.8500000238418579,0.4892738461494446,2.499999936844688e-06
0.90625,0.35368362069129944,0.8374999761581421,0.4816721975803375,1.249999968422344e-06
0.887499988079071,0.3906080722808838,0.8500000238418579,0.4944283366203308,1.249999968422344e-06
