,precision,recall,f1-score,support
0,1.0,0.65,0.7878787878787878,20.0
1,0.1724137931034483,0.25,0.20408163265306123,20.0
2,0.5483870967741935,0.85,0.6666666666666666,20.0
3,0.8571428571428571,0.3,0.4444444444444444,20.0
accuracy,0.5125,0.5125,0.5125,0.5125
macro avg,0.6444859367551248,0.5125,0.52576788291074,80.0
weighted avg,0.6444859367551248,0.5125,0.52576788291074,80.0
