,precision,recall,f1-score,support
0,0.0,0.0,0.0,20.0
1,1.0,0.15,0.2608695652173913,20.0
2,0.2597402597402597,1.0,0.41237113402061853,20.0
3,0.0,0.0,0.0,20.0
accuracy,0.2875,0.2875,0.2875,0.2875
macro avg,0.31493506493506496,0.2875,0.16831017480950244,80.0
weighted avg,0.31493506493506496,0.2875,0.16831017480950244,80.0
