Model,Accuracy,Precision,Recall,F1
custom_cnn,0.25,0.0625,0.25,0.1
resnet50,0.4875,0.43280632411067194,0.48750000000000004,0.3998917748917749
efficientnetb0,0.2875,0.31493506493506496,0.2875,0.16831017480950244
densenet121,0.6375,0.5133928571428572,0.6375,0.5530753968253969
efficientnetv2b0,0.325,0.14972527472527472,0.325,0.2013888888888889
mobilenetv3,0.25,0.0625,0.25,0.1
xception,0.55,0.5916666666666667,0.55,0.5429179331306991
convnext_tiny,0.4125,0.3907106320789185,0.4125,0.36001911001911
inceptionv3,0.5125,0.6444859367551248,0.5125,0.52576788291074
