,precision,recall,f1-score,support
0,0.7647058823529411,0.65,0.7027027027027027,20.0
1,0.0,0.0,0.0,20.0
2,0.3695652173913043,0.85,0.5151515151515151,20.0
3,0.42857142857142855,0.15,0.2222222222222222,20.0
accuracy,0.4125,0.4125,0.4125,0.4125
macro avg,0.3907106320789185,0.4125,0.36001911001911,80.0
weighted avg,0.39071063207891854,0.4125,0.36001911001911,80.0
