accuracy,loss,val_accuracy,val_loss,learning_rate
0.23125000298023224,1.4499186277389526,0.25,1.6440818309783936,9.999999747378752e-06
0.24062499403953552,1.4360219240188599,0.25,1.6413885354995728,9.999999747378752e-06
0.34687501192092896,1.3523763418197632,0.25,1.6383634805679321,9.999999747378752e-06
0.3531250059604645,1.3465993404388428,0.25,1.6407514810562134,9.999999747378752e-06
0.38749998807907104,1.2950212955474854,0.25,1.6428451538085938,9.999999747378752e-06
0.390625,1.2791972160339355,0.25,1.6479156017303467,9.999999747378752e-06
0.45625001192092896,1.2492231130599976,0.25,1.650511384010315,4.999999873689376e-06
0.44999998807907104,1.2336472272872925,0.25,1.652945876121521,4.999999873689376e-06
0.5218750238418579,1.2060296535491943,0.25,1.6564579010009766,4.999999873689376e-06
0.453125,1.2328035831451416,0.25,1.657667875289917,2.499999936844688e-06
0.484375,1.2121825218200684,0.25,1.6585317850112915,2.499999936844688e-06
